type,gender,speaker,vowel,repetition,F0,F1,F2,F3
m,m,1,FLEECE,1,160,240,2280,2850
m,m,1,FLEECE,2,186,280,2400,2790
m,m,1,KIT,1,203,390,2030,2640
m,m,1,KIT,2,192,310,1980,2550
m,m,1,DRESS,1,161,490,1870,2420
m,m,1,DRESS,2,155,570,1700,2600
m,m,1,TRAP,1,140,560,1820,2660
m,m,1,TRAP,2,180,630,1700,2550
m,m,1,STRUT,1,144,590,1250,2620
m,m,1,STRUT,2,148,620,1300,2530
m,m,1,PALM,1,148,740,1070,2490
m,m,1,PALM,2,170,800,1060,2640
m,m,1,THOUGHT,1,161,600,970,2280
m,m,1,THOUGHT,2,158,660,980,2220
m,m,1,FOOT,1,163,440,1120,2210
m,m,1,FOOT,2,190,400,1070,2280
m,m,1,GOOSE,1,160,240,1040,2150
m,m,1,GOOSE,2,157,270,930,2280
m,m,1,NURSE,1,177,370,1520,1670
m,m,1,NURSE,2,164,460,1330,1590
m,m,2,FLEECE,1,147,220,2220,2910
m,m,2,FLEECE,2,148,210,2360,3250
m,m,2,KIT,1,141,410,1890,2680
m,m,2,KIT,2,139,420,1850,2500
m,m,2,DRESS,1,136,500,1760,2590
m,m,2,DRESS,2,135,510,1710,2380
m,m,2,TRAP,1,128,690,1610,2560
m,m,2,TRAP,2,131,700,1690,2580
m,m,2,STRUT,1,140,650,1080,2420
m,m,2,STRUT,2,125,625,1060,2490
m,m,2,PALM,1,140,650,1040,2450
m,m,2,PALM,2,136,670,1100,2430
m,m,2,THOUGHT,1,149,580,580,2470
m,m,2,THOUGHT,2,140,560,560,2410
m,m,2,FOOT,1,145,450,940,1910
m,m,2,FOOT,2,141,410,830,2240
m,m,2,GOOSE,1,140,280,650,3300
m,m,2,GOOSE,2,137,260,660,3300
m,m,2,NURSE,1,145,510,1210,1570
m,m,2,NURSE,2,145,510,1130,1510
m,m,3,FLEECE,1,105,250,2180,2680
m,m,3,FLEECE,2,111,244,2300,2780
m,m,3,KIT,1,100,400,1930,2610
m,m,3,KIT,2,104,400,1990,2700
m,m,3,DRESS,1,100,550,1810,2500
m,m,3,DRESS,2,95,540,1810,2480
m,m,3,TRAP,1,93,630,1710,2400
m,m,3,TRAP,2,94,658,1755,2305
m,m,3,STRUT,1,100,600,1200,2320
m,m,3,STRUT,2,105,612,1160,2350
m,m,3,PALM,1,91,640,1080,2140
m,m,3,PALM,2,94,720,1090,2230
m,m,3,THOUGHT,1,92,550,870,2300
m,m,3,THOUGHT,2,120,540,840,2280
m,m,3,FOOT,1,114,460,1150,2290
m,m,3,FOOT,2,114,456,1030,2300
m,m,3,GOOSE,1,112,340,950,2240
m,m,3,GOOSE,2,112,326,900,2190
m,m,3,NURSE,1,100,500,1370,1780
m,m,3,NURSE,2,106,530,1330,1800
m,m,4,FLEECE,1,150,300,2240,3400
m,m,4,FLEECE,2,156,280,2450,3200
m,m,4,KIT,1,156,450,1960,2400
m,m,4,KIT,2,146,440,2050,2360
m,m,4,DRESS,1,130,570,1780,2410
m,m,4,DRESS,2,150,555,1890,2440
m,m,4,TRAP,1,125,750,1610,2340
m,m,4,TRAP,2,136,770,1580,2350
m,m,4,STRUT,1,132,660,1200,2330
m,m,4,STRUT,2,150,675,1140,2380
m,m,4,PALM,1,125,750,1100,2550
m,m,4,PALM,2,138,800,1120,2500
m,m,4,THOUGHT,1,143,540,850,2320
m,m,4,THOUGHT,2,150,555,890,2370
m,m,4,FOOT,1,136,460,960,2210
m,m,4,FOOT,2,156,460,1000,2350
m,m,4,GOOSE,1,140,380,950,2050
m,m,4,GOOSE,2,148,385,850,2330
m,m,4,NURSE,1,150,590,1400,1840
m,m,4,NURSE,2,145,555,1430,1730
m,m,5,FLEECE,1,140,310,2310,2820
m,m,5,FLEECE,2,131,260,2250,2850
m,m,5,KIT,1,137,440,2060,2640
m,m,5,KIT,2,134,430,1880,2450
m,m,5,DRESS,1,140,580,1910,2500
m,m,5,DRESS,2,137,550,1770,2400
m,m,5,TRAP,1,143,830,1720,2180
m,m,5,TRAP,2,135,750,1690,2320
m,m,5,STRUT,1,136,630,1300,1950
m,m,5,STRUT,2,130,650,1170,2000
m,m,5,PALM,1,131,760,1220,2140
m,m,5,PALM,2,126,720,1260,2020
m,m,5,THOUGHT,1,136,540,970,1980
m,m,5,THOUGHT,2,124,550,880,1950
m,m,5,FOOT,1,133,470,1040,1990
m,m,5,FOOT,2,132,490,990,1920
m,m,5,GOOSE,1,141,380,950,2140
m,m,5,GOOSE,2,133,330,800,2130
m,m,5,NURSE,1,143,560,1510,1800
m,m,5,NURSE,2,136,510,1460,1700
m,m,6,FLEECE,1,125,312,2350,2800
m,m,6,FLEECE,2,119,330,2430,2870
m,m,6,KIT,1,133,420,2000,2660
m,m,6,KIT,2,125,313,2000,2750
m,m,6,DRESS,1,120,600,1860,2500
m,m,6,DRESS,2,114,570,1830,2570
m,m,6,TRAP,1,119,676,1670,2540
m,m,6,TRAP,2,125,725,1687,2500
m,m,6,STRUT,1,118,680,1150,2560
m,m,6,STRUT,2,125,726,1270,2560
m,m,6,PALM,1,125,740,1100,2680
m,m,6,PALM,2,113,670,960,2650
m,m,6,THOUGHT,1,120,660,1030,2690
m,m,6,THOUGHT,2,125,720,960,2700
m,m,6,FOOT,1,120,456,1080,2520
m,m,6,FOOT,2,120,450,1140,2600
m,m,6,GOOSE,1,125,313,838,2340
m,m,6,GOOSE,2,125,288,938,2450
m,m,6,NURSE,1,120,503,1305,1775
m,m,6,NURSE,2,120,505,1320,1750
m,m,7,FLEECE,1,186,320,2320,3120
m,m,7,FLEECE,2,172,310,2280,3020
m,m,7,KIT,1,167,470,2000,2660
m,m,7,KIT,2,170,410,2040,2715
m,m,7,DRESS,1,167,630,1900,2860
m,m,7,DRESS,2,146,614,1840,2770
m,m,7,TRAP,1,143,740,1800,2450
m,m,7,TRAP,2,162,775,1810,2200
m,m,7,STRUT,1,167,620,1240,2410
